ticker,date,market_clean_price,market_dirty_price,clean_floor,dirty_floor,accrued_interest,n_cashflows,effective_discount_rate,premium_to_floor
DUK,2023-04-04,100.51,100.51,97.396786,97.396786,0.0,7,5.4108,3.1132
DUK,2023-04-05,101.703,101.749,97.520511,97.520511,0.0,7,5.3801,4.1825
DUK,2023-04-06,102.242,102.299,97.497969,97.497969,0.0,7,5.4108,4.744
DUK,2023-04-10,101.977,102.046,97.21108,97.21108,0.0,7,5.5562,4.7659
DUK,2023-04-11,101.968,102.048,97.223619,97.223619,0.0,7,5.5528,4.7444
DUK,2023-04-12,102.144,102.236,97.324975,97.324975,0.0,7,5.5322,4.819
DUK,2023-04-13,102.141,102.267,97.367128,97.367128,0.0,7,5.517,4.7739
DUK,2023-04-14,101.706,101.843,97.243402,97.243402,0.0,7,5.579,4.4626
DUK,2023-04-17,101.694,101.843,97.097422,97.097422,0.0,7,5.6418,4.5966
DUK,2023-04-18,101.398,101.559,97.094873,97.094873,0.0,7,5.6413,4.3031
DUK,2023-04-19,101.562,101.734,96.984924,96.984924,0.0,7,5.6735,4.5771
DUK,2023-04-20,101.549,101.755,97.126509,97.126509,0.0,7,5.6204,4.4225
DUK,2023-04-21,101.71,101.928,97.13982,97.13982,0.0,7,5.6199,4.5702
DUK,2023-04-24,101.9,102.129,97.252442,97.252442,0.0,7,5.5947,4.6476
DUK,2023-04-25,102.253,102.494,97.568119,97.568119,0.0,7,5.5103,4.6849
DUK,2023-04-26,101.938,102.19,97.596578,97.596578,0.0,7,5.5192,4.3414
DUK,2023-04-27,102.08,102.366,97.379611,97.379611,0.0,7,5.6048,4.7004
DUK,2023-04-28,101.988,102.286,97.429158,97.429158,0.0,7,5.5941,4.5588
DUK,2023-05-01,101.709,102.018,97.194448,97.194448,0.0,7,5.7092,4.5146
DUK,2023-05-02,101.303,101.624,97.439457,97.439457,0.0,7,5.6232,3.8635
DUK,2023-05-03,101.792,102.124,97.616079,97.616079,0.0,7,5.557,4.1759
DUK,2023-05-04,101.939,102.305,97.74584,97.74584,0.0,7,5.5447,4.1932
DUK,2023-05-05,101.974,102.352,97.628139,97.628139,0.0,7,5.6057,4.3459
DUK,2023-05-08,101.974,102.364,97.451013,97.451013,0.0,7,5.6832,4.523
DUK,2023-05-09,101.712,102.113,97.427388,97.427388,0.0,7,5.7045,4.2846
DUK,2023-05-10,102.239,102.652,97.662,97.662,0.0,7,5.5961,4.577
DUK,2023-05-11,102.023,102.47,97.758455,97.758455,0.0,7,5.595,4.2645
DUK,2023-05-12,101.985,102.443,97.647549,97.647549,0.0,7,5.6267,4.3375
DUK,2023-05-15,101.476,101.946,97.558707,97.558707,0.0,7,5.6714,3.9173
DUK,2023-05-16,100.998,101.479,97.401508,97.401508,0.0,7,5.766,3.5965
DUK,2023-05-17,100.458,100.951,97.314191,97.314191,0.0,7,5.7874,3.1438
DUK,2023-05-18,100.312,100.839,97.082796,97.082796,0.0,7,5.8781,3.2292
DUK,2023-05-19,100.35,100.889,97.003874,97.003874,0.0,7,5.8909,3.3461
DUK,2023-05-22,99.98,100.53,96.978535,96.978535,0.0,7,5.9326,3.0015
DUK,2023-05-23,99.512,100.073,97.001322,97.001322,0.0,7,5.9295,2.5107
DUK,2023-05-24,99.239,99.812,96.908368,96.908368,0.0,7,5.9752,2.3306
DUK,2023-05-25,98.815,99.433,96.658077,96.658077,0.0,7,6.0804,2.1569
DUK,2023-05-26,98.671,99.301,96.600537,96.600537,0.0,7,6.0878,2.0705
DUK,2023-05-30,98.662,99.292,96.801545,96.801545,0.0,7,6.0439,1.8605
DUK,2023-05-31,99.088,99.73,96.914458,96.914458,0.0,7,6.0175,2.1735
DUK,2023-06-01,98.906,99.582,97.055554,97.055554,0.0,7,5.9594,1.8504
DUK,2023-06-02,99.013,99.701,96.940352,96.940352,0.0,7,6.0238,2.0726
DUK,2023-06-05,99.057,99.756,96.922313,96.922313,0.0,7,6.0208,2.1347
DUK,2023-06-07,99.278,100.0,96.753004,96.753004,0.0,7,6.0607,2.525
DUK,2023-06-08,99.343,100.099,96.809865,96.809865,0.0,7,6.0513,2.5331
DUK,2023-06-09,99.24,100.008,96.705289,96.705289,0.0,7,6.1049,2.5347
DUK,2023-06-12,99.193,99.972,96.772463,96.772463,0.0,7,6.0987,2.4205
DUK,2023-06-13,98.856,99.647,96.635227,96.635227,0.0,7,6.1339,2.2208
DUK,2023-06-14,99.381,100.183,96.518276,96.518276,0.0,7,6.1744,2.8627
DUK,2023-06-15,99.064,99.911,96.759089,96.759089,0.0,7,6.0932,2.3049
