ticker,date,market_clean_price,market_dirty_price,clean_floor,dirty_floor,accrued_interest,n_cashflows,effective_discount_rate,premium_to_floor
FRT,2024-01-09,100.503,100.503,92.856669,92.856669,0.0,11,5.2375,7.6463
FRT,2024-01-10,100.623,100.632,92.875619,92.875619,0.0,11,5.2321,7.7474
FRT,2024-01-11,99.48,99.525,93.213123,93.213123,0.0,11,5.1488,6.2669
FRT,2024-01-12,99.815,99.869,93.535747,93.535747,0.0,11,5.0662,6.2793
FRT,2024-01-15,99.713,99.767,93.572483,93.572483,0.0,11,5.0675,6.1405
FRT,2024-01-16,99.165,99.228,93.257079,93.257079,0.0,11,5.1346,5.9079
FRT,2024-01-17,98.144,98.217,93.0095,93.0095,0.0,11,5.2022,5.1345
FRT,2024-01-18,97.606,97.705,92.973408,92.973408,0.0,11,5.2018,4.6326
FRT,2024-01-19,98.153,98.261,92.85512,92.85512,0.0,11,5.2335,5.2979
FRT,2024-01-22,98.216,98.333,92.954354,92.954354,0.0,11,5.2324,5.2616
FRT,2024-01-23,98.687,98.814,92.914839,92.914839,0.0,11,5.2353,5.7722
FRT,2024-01-24,98.352,98.487,92.879098,92.879098,0.0,11,5.2338,5.4729
FRT,2024-01-25,99.136,99.298,93.090769,93.090769,0.0,11,5.1801,6.0452
FRT,2024-01-26,99.318,99.489,93.084483,93.084483,0.0,11,5.1844,6.2335
FRT,2024-01-29,99.283,99.464,93.274605,93.274605,0.0,11,5.1606,6.0084
FRT,2024-01-30,99.348,99.529,93.219932,93.219932,0.0,11,5.1866,6.1281
FRT,2024-01-31,98.78,98.97,93.464136,93.464136,0.0,11,5.1307,5.3159
FRT,2024-02-01,99.557,99.774,93.776997,93.776997,0.0,11,5.0842,5.78
FRT,2024-02-02,98.715,98.941,93.379132,93.379132,0.0,11,5.178,5.3359
FRT,2024-02-05,97.816,98.051,92.93564,92.93564,0.0,11,5.2773,4.8804
FRT,2024-02-06,98.315,98.559,93.10037,93.10037,0.0,11,5.2389,5.2146
FRT,2024-02-07,98.107,98.359,93.087691,93.087691,0.0,11,5.2438,5.0193
FRT,2024-02-08,98.721,99.001,92.894553,92.894553,0.0,11,5.2867,5.8264
FRT,2024-02-09,98.26,98.549,92.797938,92.797938,0.0,11,5.3113,5.4621
FRT,2024-02-12,98.191,98.489,92.797214,92.797214,0.0,11,5.3243,5.3938
FRT,2024-02-13,97.875,98.181,92.295676,92.295676,0.0,11,5.4482,5.5793
FRT,2024-02-14,98.116,98.432,92.410532,92.410532,0.0,11,5.4119,5.7055
FRT,2024-02-15,98.127,98.479,92.590825,92.590825,0.0,11,5.3798,5.5362
FRT,2024-02-16,97.98,98.341,92.40826,92.40826,0.0,11,5.4187,5.5717
