ticker,date,stock_price,conversion_price,implied_vol_pct,risk_free_rate_pct,remaining_maturity,option_value,delta,option_value_per_bond,option_value_pct
DUK,2023-04-06,99.74,118.4175,20.9557,3.6208,3.0253,11.923256,0.504044,100.6883,10.068832
DUK,2023-04-10,99.13,118.4175,21.1065,3.7582,3.0144,11.840906,0.502199,99.9929,9.99929
DUK,2023-04-11,99.35,118.4175,21.1768,3.7788,3.0116,12.011564,0.505567,101.4341,10.143405
DUK,2023-04-12,99.41,118.4175,21.0775,3.735,3.0089,11.912812,0.50396,100.6001,10.060012
DUK,2023-04-13,99.14,118.4175,21.363,3.7445,3.0062,11.973731,0.503076,101.1146,10.111457
DUK,2023-04-14,97.64,118.4175,21.7641,3.8261,3.0034,11.581884,0.492026,97.8055,9.780554
DUK,2023-04-17,98.41,118.4175,21.2824,3.9076,2.9952,11.696751,0.499068,98.7756,9.877555
DUK,2023-04-18,97.41,118.4175,21.4949,3.9241,2.9925,11.348115,0.489849,95.8314,9.583142
DUK,2023-04-19,98.4,118.4175,21.1405,3.9621,2.9897,11.634681,0.499355,98.2514,9.825139
DUK,2023-04-20,98.22,118.4175,21.5496,3.9035,2.987,11.746997,0.498173,99.1999,9.919987
DUK,2023-04-21,98.36,118.4175,21.3619,3.9138,2.9843,11.690148,0.498538,98.7198,9.871979
DUK,2023-04-24,98.9,118.4175,21.3332,3.8764,2.976,11.866858,0.502535,100.2121,10.021206
DUK,2023-04-25,99.74,118.4175,21.3374,3.7294,2.9733,12.109891,0.506807,102.2644,10.22644
DUK,2023-04-26,98.35,118.4175,22.5746,3.723,2.9706,12.239968,0.500007,103.3629,10.336285
DUK,2023-04-27,99.47,118.4175,21.715,3.8315,2.9678,12.326209,0.509239,104.0911,10.409114
DUK,2023-04-28,98.88,118.4175,21.617,3.8076,2.9651,11.929316,0.501339,100.7395,10.073949
DUK,2023-05-01,99.09,118.4175,21.4152,3.8935,2.9569,11.961578,0.504445,101.0119,10.101194
DUK,2023-05-02,97.6,118.4175,22.241,3.7741,2.9541,11.637299,0.490199,98.2735,9.82735
DUK,2023-05-03,97.33,118.4175,22.3119,3.6914,2.9514,11.45358,0.485117,96.722,9.672204
DUK,2023-05-04,98.11,118.4175,22.8127,3.5952,2.9487,12.057438,0.493947,101.8214,10.182145
DUK,2023-05-05,99.36,118.4175,21.6541,3.6653,2.9459,11.958341,0.501046,100.9846,10.09846
DUK,2023-05-08,98.9,118.4175,22.4716,3.7401,2.9377,12.330957,0.503436,104.1312,10.413123
DUK,2023-05-09,98.05,118.4175,21.9856,3.7644,2.935,11.602485,0.49161,97.9795,9.79795
DUK,2023-05-10,99.14,118.4175,20.9448,3.6797,2.9322,11.334728,0.49326,95.7184,9.571837
DUK,2023-05-11,97.33,118.4175,21.7329,3.6462,2.9295,10.93231,0.477729,92.3201,9.232008
DUK,2023-05-12,97.45,118.4175,21.2941,3.7053,2.9268,10.74575,0.47723,90.7446,9.074463
DUK,2023-05-15,96.33,118.4175,21.7323,3.7363,2.9185,10.491587,0.468464,88.5983,8.85983
DUK,2023-05-16,94.01,118.4175,21.8191,3.7919,2.9158,9.50477,0.444434,80.2649,8.026493
DUK,2023-05-17,93.02,118.4175,21.9495,3.8524,2.9131,9.218918,0.436457,77.851,7.785099
DUK,2023-05-18,92.81,118.4175,21.8159,3.9592,2.9103,9.138218,0.435935,77.1695,7.716951
DUK,2023-05-19,92.51,118.4175,21.9839,4.0171,2.9076,9.156976,0.43572,77.3279,7.732792
DUK,2023-05-22,91.97,118.4175,22.0632,4.0535,2.8994,8.981129,0.430891,75.8429,7.584294
DUK,2023-05-23,90.75,118.4175,22.3308,4.0602,2.8966,8.625397,0.419741,72.8389,7.283889
DUK,2023-05-24,90.16,118.4175,23.0327,4.1027,2.8939,8.826438,0.421259,74.5366,7.453662
