ticker,date,stock_price,conversion_price,implied_vol_pct,risk_free_rate_pct,remaining_maturity,option_value,delta,option_value_per_bond,option_value_pct
EXC,2025-12-04,43.91,57.1125,19.7482,3.5398,3.2772,3.805734,0.407268,66.6357,6.663573
EXC,2025-12-05,43.81,57.1125,20.6259,3.5707,3.2745,4.050217,0.415847,70.9165,7.091646
EXC,2025-12-08,43.33,57.1125,20.2813,3.6014,3.2663,3.741231,0.400404,65.5063,6.550633
EXC,2025-12-09,43.76,57.1125,21.3259,3.6261,3.2635,4.255792,0.423375,74.5159,7.451593
EXC,2025-12-10,43.28,57.1125,21.0916,3.5949,3.2608,3.962846,0.40821,69.3867,6.938667
EXC,2025-12-11,43.09,57.1125,22.0262,3.5732,3.258,4.157378,0.413404,72.7928,7.279278
EXC,2025-12-12,43.57,57.1125,20.944,3.5879,3.2553,4.027601,0.412852,70.5205,7.052047
EXC,2025-12-15,43.87,57.1125,20.2408,3.5758,3.2471,3.916623,0.411094,68.5773,6.857732
EXC,2025-12-16,43.76,57.1125,19.4954,3.5451,3.2444,3.616755,0.398012,63.3268,6.332685
EXC,2025-12-17,44.22,57.1125,19.4588,3.5401,3.2416,3.793159,0.409067,66.4156,6.641556
EXC,2025-12-18,44.28,57.1125,19.7004,3.5161,3.2389,3.879684,0.412374,67.9305,6.793055
EXC,2025-12-19,43.66,57.1125,22.574,3.5326,3.2361,4.508968,0.429054,78.9489,7.894888
EXC,2025-12-22,43.55,57.1125,19.6664,3.5484,3.2279,3.560187,0.393559,62.3364,6.233638
EXC,2025-12-23,43.46,57.1125,18.5605,3.5673,3.2252,3.192541,0.377474,55.8992,5.589916
EXC,2025-12-24,43.52,57.1125,19.6039,3.565,3.2225,3.526992,0.39212,61.7552,6.175516
EXC,2025-12-26,43.56,57.1125,19.743,3.5421,3.217,3.570035,0.393732,62.5088,6.250882
EXC,2025-12-29,43.63,57.1125,19.3463,3.521,3.2088,3.45255,0.389049,60.4517,6.045174
EXC,2025-12-30,43.92,57.1125,19.6132,3.5152,3.206,3.652555,0.399657,63.9537,6.395368
EXC,2025-12-31,43.59,57.1125,19.28,3.5432,3.2033,3.416279,0.38745,59.8167,5.981666
EXC,2026-01-02,43.92,57.1125,19.412,3.5521,3.1978,3.593385,0.397809,62.9177,6.291766
EXC,2026-01-05,43.54,57.1125,19.588,3.5314,3.1896,3.468253,0.388692,60.7267,6.072668
EXC,2026-01-06,43.84,57.1125,19.2239,3.5353,3.1869,3.476724,0.391834,60.875,6.087501
EXC,2026-01-07,42.99,57.1125,19.6281,3.5217,3.1841,3.250878,0.374304,56.9206,5.692059
EXC,2026-01-08,43.45,57.1125,19.6745,3.5469,3.1814,3.452527,0.387337,60.4513,6.045134
EXC,2026-01-09,43.3,57.1125,20.0901,3.57,3.1786,3.526162,0.389392,61.7406,6.174064
EXC,2026-01-12,42.9,57.1125,20.8125,3.5842,3.1704,3.577584,0.388215,62.641,6.264099
EXC,2026-01-13,43.32,57.1125,19.9255,3.5766,3.1677,3.46964,0.387136,60.751,6.075097
EXC,2026-01-14,43.6,57.1125,19.9251,3.5574,3.165,3.574784,0.393563,62.592,6.259197
EXC,2026-01-15,44.15,57.1125,19.7158,3.589,3.1622,3.750116,0.406053,65.6619,6.56619
EXC,2026-01-16,44.73,57.1125,19.2719,3.6338,3.1595,3.872196,0.417163,67.7994,6.779945
EXC,2026-01-20,44.95,57.1125,19.9489,3.6659,3.1485,4.174888,0.430331,73.0994,7.309937
EXC,2026-01-21,45.0,57.1125,19.8944,3.649,3.1458,4.166835,0.430203,72.9584,7.295836
EXC,2026-01-22,44.6,57.1125,19.5787,3.6589,3.1431,3.900209,0.416943,68.2899,6.828993
EXC,2026-01-23,44.06,57.1125,18.9605,3.6524,3.1403,3.469411,0.394815,60.747,6.074696
EXC,2026-01-26,44.55,57.1125,19.4586,3.6398,3.1321,3.816313,0.412789,66.821,6.682096
EXC,2026-01-27,44.83,57.1125,19.663,3.6352,3.1294,3.991908,0.421839,69.8955,6.989551
EXC,2026-01-28,44.76,57.1125,19.3134,3.6492,3.1266,3.855761,0.416457,67.5117,6.751167
EXC,2026-01-29,44.41,57.1125,19.3914,3.6243,3.1239,3.716837,0.40719,65.0792,6.507921
EXC,2026-01-30,44.78,57.1125,19.8889,3.6075,3.1211,4.015433,0.421466,70.3074,7.030743
EXC,2026-02-02,43.91,57.1125,20.4642,3.6292,3.1129,3.825353,0.406369,66.9793,6.697926
EXC,2026-02-03,44.01,57.1125,21.0047,3.6311,3.1102,4.029143,0.414777,70.5475,7.054748
EXC,2026-02-04,43.43,57.1125,20.1909,3.6338,3.1075,3.533512,0.390543,61.8693,6.186931
EXC,2026-02-05,44.06,57.1125,21.5007,3.5601,3.1047,4.160045,0.41861,72.8395,7.283947
EXC,2026-02-06,44.33,57.1125,21.1412,3.5561,3.102,4.15743,0.420812,72.7937,7.279368
EXC,2026-02-09,43.97,57.1125,21.2409,3.5458,3.0938,4.021316,0.412436,70.4104,7.041044
EXC,2026-02-10,44.64,57.1125,20.3344,3.5086,3.091,4.002772,0.417258,70.0857,7.008573
EXC,2026-02-11,44.45,57.1125,21.524,3.5394,3.0883,4.293391,0.426011,75.1743,7.517428
EXC,2026-02-12,47.55,57.1125,19.773,3.4964,3.0856,5.118474,0.48194,89.6209,8.96209
EXC,2026-02-13,48.48,57.1125,21.0924,3.4434,3.0828,5.982654,0.510909,104.7521,10.475208
EXC,2026-02-17,48.04,57.1125,19.4824,3.4487,3.0719,5.212203,0.489067,91.262,9.126203
EXC,2026-02-18,47.24,57.1125,19.3472,3.4678,3.0691,4.777394,0.468468,83.6488,8.364882
EXC,2026-02-19,47.36,57.1125,20.847,3.4745,3.0664,5.340939,0.483964,93.5161,9.35161
EXC,2026-02-20,47.79,57.1125,20.2189,3.4829,3.0637,5.341883,0.489318,93.5326,9.353263
EXC,2026-02-23,48.2,57.1125,20.7594,3.4475,3.0554,5.689081,0.500995,99.6118,9.961182
EXC,2026-02-24,48.59,57.1125,20.5945,3.4541,3.0527,5.824227,0.508746,101.9781,10.197813
EXC,2026-02-25,48.7,57.1125,20.3029,3.4672,3.05,5.784187,0.509652,101.2771,10.127707
EXC,2026-02-26,48.8,57.1125,21.219,3.4476,3.0472,6.11948,0.516691,107.1478,10.714781
EXC,2026-02-27,49.47,57.1125,20.6616,3.4001,3.0445,6.23211,0.526293,109.1199,10.911988
EXC,2026-03-02,49.17,57.1125,20.1942,3.3996,3.0363,5.914472,0.516511,103.5583,10.355827
EXC,2026-03-03,48.96,57.1125,20.7698,3.3994,3.0335,5.997084,0.515105,105.0048,10.500475
EXC,2026-03-04,49.25,57.1125,21.1903,3.3992,3.0308,6.271202,0.523634,109.8044,10.980436
