ticker,date,stock_price,conversion_price,implied_vol_pct,risk_free_rate_pct,remaining_maturity,option_value,delta,option_value_per_bond,option_value_pct
BXP,2025-09-29,75.37,92.4385,30.8202,3.726,5.0048,19.88407,0.624774,215.1059,21.510587
BXP,2025-09-30,74.34,92.4385,30.9924,3.7171,5.0021,19.331113,0.617642,209.124,20.912398
BXP,2025-10-01,76.32,92.4385,30.4549,3.6746,4.9993,20.154886,0.628452,218.0356,21.803556
BXP,2025-10-02,75.61,92.4385,30.7042,3.6561,4.9966,19.839598,0.623801,214.6248,21.462477
BXP,2025-10-03,75.61,92.4385,30.2244,3.681,4.9938,19.557459,0.622185,211.5726,21.157259
BXP,2025-10-06,74.61,92.4385,31.739,3.7139,4.9856,19.921628,0.622574,215.5122,21.551217
BXP,2025-10-07,73.77,92.4385,29.5714,3.692,4.9829,17.975416,0.604627,194.458,19.445805
BXP,2025-10-08,73.03,92.4385,31.7599,3.6965,4.9802,18.909627,0.610368,204.5643,20.456434
BXP,2025-10-09,71.45,92.4385,31.6985,3.7053,4.9774,17.88801,0.597981,193.5125,19.35125
BXP,2025-10-10,69.49,92.4385,31.4707,3.6356,4.9747,16.456082,0.578838,178.0219,17.80219
BXP,2025-10-13,70.1,92.4385,31.8384,3.6351,4.9665,17.017905,0.585637,184.0997,18.409969
BXP,2025-10-14,70.53,92.4385,33.2153,3.5871,4.9637,18.082476,0.596021,195.6162,19.561623
BXP,2025-10-15,71.73,92.4385,31.708,3.5971,4.961,17.886539,0.596688,193.4966,19.349658
BXP,2025-10-16,70.39,92.4385,34.0863,3.535,4.9582,18.458587,0.598578,199.685,19.968499
BXP,2025-10-17,71.06,92.4385,31.079,3.5526,4.9555,17.002537,0.58614,183.9334,18.393344
BXP,2025-10-20,70.67,92.4385,31.9572,3.5476,4.9473,17.286363,0.587871,187.0039,18.700388
BXP,2025-10-21,71.97,92.4385,32.1294,3.5314,4.9446,18.172219,0.598591,196.5871,19.658707
BXP,2025-10-22,73.2,92.4385,31.9312,3.523,4.9418,18.789629,0.606533,203.2662,20.326621
BXP,2025-10-23,73.73,92.4385,31.345,3.5603,4.9391,18.78533,0.608325,203.2197,20.32197
BXP,2025-10-24,74.18,92.4385,31.088,3.5687,4.9363,18.903017,0.610531,204.4928,20.449283
BXP,2025-10-27,74.53,92.4385,30.3107,3.5764,4.9281,18.608954,0.609167,201.3117,20.131167
BXP,2025-10-28,74.09,92.4385,31.1562,3.5721,4.9254,18.862875,0.609899,204.0586,20.405859
BXP,2025-10-29,70.36,92.4385,31.2903,3.6523,4.9227,16.728257,0.583097,180.9663,18.096628
BXP,2025-10-30,70.43,92.4385,31.6347,3.6864,4.9199,17.021318,0.586624,184.1366,18.413662
BXP,2025-10-31,71.19,92.4385,31.107,3.6892,4.9172,17.156846,0.589651,185.6028,18.560276
BXP,2025-11-03,70.61,92.4385,31.8295,3.6964,4.909,17.235544,0.589111,186.4541,18.645412
BXP,2025-11-04,69.73,92.4385,32.1435,3.675,4.9062,16.851099,0.583161,182.2952,18.229519
BXP,2025-11-05,69.37,92.4385,31.491,3.7235,4.9035,16.311795,0.57764,176.461,17.6461
BXP,2025-11-06,70.1,92.4385,31.4846,3.6762,4.9008,16.653993,0.581909,180.1629,18.016289
BXP,2025-11-07,72.36,92.4385,30.5878,3.6612,4.898,17.463792,0.594678,188.9233,18.89233
BXP,2025-11-10,71.61,92.4385,31.7864,3.6816,4.8898,17.755966,0.595729,192.084,19.208404
BXP,2025-11-11,72.42,92.4385,31.5793,3.6814,4.8871,18.120686,0.600833,196.0296,19.602958
BXP,2025-11-12,71.65,92.4385,31.2092,3.6546,4.8843,17.368604,0.591766,187.8936,18.789356
BXP,2025-11-13,70.8,92.4385,32.6658,3.6767,4.8816,17.771606,0.593999,192.2532,19.225324
BXP,2025-11-14,70.64,92.4385,33.0674,3.7047,4.8789,17.946311,0.595727,194.1432,19.414319
BXP,2025-11-17,69.11,92.4385,32.232,3.6993,4.8706,16.47873,0.578106,178.2669,17.82669
BXP,2025-11-18,69.13,92.4385,32.5727,3.6792,4.8679,16.654342,0.579644,180.1667,18.016668
BXP,2025-11-19,69.38,92.4385,32.6665,3.679,4.8652,16.842882,0.58201,182.2063,18.22063
BXP,2025-11-20,68.66,92.4385,32.3328,3.659,4.8624,16.22362,0.573882,175.5071,17.550712
BXP,2025-11-21,70.04,92.4385,31.6991,3.6149,4.8597,16.55984,0.579416,179.1443,17.914434
BXP,2025-11-24,70.66,92.4385,31.6509,3.5939,4.8515,16.86447,0.583364,182.4398,18.243984
BXP,2025-11-25,72.43,92.4385,30.6584,3.564,4.8487,17.287062,0.591047,187.0114,18.701144
BXP,2025-11-26,72.71,92.4385,30.9647,3.5607,4.846,17.641458,0.594866,190.8453,19.084529
BXP,2025-11-28,72.36,92.4385,30.6324,3.5791,4.8405,17.222184,0.590424,186.3096,18.630959
BXP,2025-12-01,71.97,92.4385,30.2878,3.631,4.8323,16.803501,0.586302,181.7803,18.178027
BXP,2025-12-02,71.75,92.4385,31.7517,3.6329,4.8296,17.583776,0.592997,190.2213,19.022129
BXP,2025-12-03,71.15,92.4385,30.4552,3.6094,4.8268,16.361494,0.57953,176.9986,17.699864
BXP,2025-12-04,70.56,92.4385,29.9753,3.6485,4.8241,15.769967,0.572729,170.5995,17.05995
BXP,2025-12-05,69.28,92.4385,29.9904,3.6809,4.8214,15.118671,0.563098,163.5538,16.355378
BXP,2025-12-08,68.53,92.4385,30.3849,3.714,4.8131,14.958378,0.559945,161.8197,16.181974
BXP,2025-12-09,68.98,92.4385,30.7446,3.7379,4.8104,15.430006,0.566552,166.9218,16.692181
BXP,2025-12-10,70.34,92.4385,28.2357,3.7087,4.8077,14.654808,0.561296,158.5357,15.853572
BXP,2025-12-11,71.62,92.4385,28.7567,3.69,4.8049,15.623268,0.574729,169.0125,16.901252
BXP,2025-12-12,71.41,92.4385,29.4498,3.7135,4.8022,15.939404,0.577552,172.4325,17.243247
BXP,2025-12-15,71.62,92.4385,27.5951,3.7053,4.794,14.923657,0.567962,161.4441,16.144412
BXP,2025-12-16,70.7,92.4385,29.6417,3.6757,4.7912,15.593242,0.571338,168.6877,16.868769
BXP,2025-12-17,69.54,92.4385,28.52,3.6734,4.7885,14.299597,0.554155,154.693,15.469304
BXP,2025-12-18,69.19,92.4385,29.0603,3.6478,4.7858,14.392693,0.553773,155.7001,15.570015
BXP,2025-12-19,68.71,92.4385,28.4825,3.6654,4.783,13.807459,0.545902,149.3691,14.936909
BXP,2025-12-22,69.45,92.4385,29.7573,3.6817,4.7748,14.949855,0.561111,161.7275,16.172753
BXP,2025-12-23,68.8,92.4385,28.0816,3.698,4.7721,13.627226,0.544418,147.4193,14.741933
BXP,2025-12-24,69.22,92.4385,27.306,3.6908,4.7693,13.376987,0.542552,144.7122,14.471224
BXP,2025-12-26,69.34,92.4385,27.4286,3.6687,4.7639,13.474769,0.543624,145.7701,14.577005
BXP,2025-12-29,69.01,92.4385,28.3288,3.6472,4.7556,13.785292,0.545827,149.1293,14.912929
BXP,2025-12-30,69.27,92.4385,28.1778,3.6446,4.7529,13.825454,0.546973,149.5638,14.956376
BXP,2025-12-31,67.48,92.4385,28.0959,3.6775,4.7502,12.846163,0.530317,138.9698,13.896979
BXP,2026-01-02,67.82,92.4385,31.5651,3.692,4.7447,15.043225,0.558268,162.7376,16.27376
BXP,2026-01-05,67.09,92.4385,27.8162,3.6731,4.7365,12.43134,0.5235,134.4822,13.448223
BXP,2026-01-06,68.1,92.4385,28.328,3.6785,4.7337,13.274239,0.537294,143.6007,14.360072
BXP,2026-01-07,66.13,92.4385,29.0581,3.6614,4.731,12.619414,0.523363,136.5168,13.651682
