ticker,date,stock_price,conversion_price,implied_vol_pct,risk_free_rate_pct,remaining_maturity,option_value,delta,option_value_per_bond,option_value_pct
NEE,2024-03-01,55.21,68.061,28.1311,4.3207,2.9979,8.911694,0.530962,130.9368,13.093684
NEE,2024-03-04,54.97,68.061,27.9186,4.3484,2.9897,8.707648,0.526432,127.9389,12.793887
NEE,2024-03-05,55.4,68.061,28.2788,4.2982,2.987,9.019438,0.533286,132.5199,13.25199
NEE,2024-03-06,55.53,68.061,27.8992,4.2855,2.9843,8.930022,0.532584,131.2061,13.120614
NEE,2024-03-07,56.25,68.061,28.8452,4.2547,2.9815,9.651294,0.547172,141.8036,14.180357
NEE,2024-03-08,57.81,68.061,28.1783,4.2375,2.9788,10.273839,0.56574,150.9504,15.095044
NEE,2024-03-11,57.87,68.061,27.7079,4.254,2.9706,10.109183,0.564396,148.5312,14.853119
NEE,2024-03-12,57.15,68.061,26.1432,4.3129,2.9678,9.094584,0.547234,133.624,13.3624
NEE,2024-03-13,59.54,68.061,26.5881,4.348,2.9651,10.684562,0.585883,156.9851,15.698506
NEE,2024-03-14,59.54,68.061,27.4794,4.4247,2.9624,11.086654,0.590751,162.8929,16.289289
NEE,2024-03-15,60.08,68.061,27.1272,4.4622,2.9596,11.282097,0.597791,165.7645,16.576447
NEE,2024-03-18,60.17,68.061,27.1351,4.49,2.9514,11.334237,0.599307,166.5305,16.653054
NEE,2024-03-19,61.27,68.061,26.2527,4.4665,2.9487,11.603869,0.61127,170.4922,17.049217
NEE,2024-03-20,62.2,68.061,25.5353,4.412,2.9459,11.813911,0.621012,173.5782,17.357825
NEE,2024-03-21,61.36,68.061,25.8648,4.4104,2.9432,11.443739,0.609905,168.1394,16.813943
NEE,2024-03-22,61.78,68.061,25.6205,4.3676,2.9405,11.551338,0.613979,169.7203,16.972034
NEE,2024-03-25,62.61,68.061,25.5471,4.3822,2.9322,12.014088,0.62535,176.5194,17.651938
NEE,2024-03-26,61.43,68.061,25.9364,4.3841,2.9295,11.453376,0.609724,168.281,16.828102
NEE,2024-03-27,63.79,68.061,26.2673,4.3591,2.9268,13.053914,0.641584,191.7972,19.179725
NEE,2024-03-28,63.91,68.061,25.9078,4.381,2.924,12.995017,0.643159,190.9319,19.093189
NEE,2024-04-01,63.38,68.061,26.3839,4.4685,2.9131,12.877575,0.638401,189.2063,18.920634
NEE,2024-04-02,62.88,68.061,26.5142,4.4902,2.9103,12.609051,0.632355,185.261,18.526101
NEE,2024-04-03,62.55,68.061,26.7524,4.4819,2.9076,12.473355,0.628032,183.2673,18.326727
NEE,2024-04-04,63.73,68.061,26.2738,4.4521,2.9049,13.025271,0.642128,191.3764,19.137641
NEE,2024-04-05,64.18,68.061,26.9293,4.5088,2.9021,13.627614,0.649891,200.2264,20.022645
NEE,2024-04-08,64.86,68.061,25.4046,4.5539,2.8939,13.469438,0.658309,197.9024,19.790241
NEE,2024-04-09,65.38,68.061,26.112,4.5272,2.8912,14.070128,0.664481,206.7282,20.672817
NEE,2024-04-10,64.01,68.061,26.2507,4.6953,2.8884,13.348102,0.650891,196.1197,19.611966
NEE,2024-04-11,63.94,68.061,26.1174,4.7257,2.8857,13.263663,0.650475,194.879,19.487902
NEE,2024-04-12,63.08,68.061,26.9838,4.6881,2.883,13.003395,0.639197,191.055,19.105498
