ticker,date,market_clean_price,market_dirty_price,clean_floor,dirty_floor,accrued_interest,effective_discount_rate,n_cashflows,stock_price,conversion_price,implied_vol_pct,risk_free_rate_pct,remaining_maturity,option_value,option_value_per_bond,option_value_pct,delta,fair_value_clean,fair_value_dirty,mispricing_pct,mispricing_usd,signal
BXP,2025-09-29,100.102,100.108,89.296222,89.296222,0.0,4.3809,11,75.37,92.4385,30.8202,3.726,5.0048,19.88407,215.1059,21.510587,0.624774,110.806809,110.806809,10.704808999999997,107.04808999999997,True
BXP,2025-09-30,99.627,99.638,89.302834,89.302834,0.0,4.3784,11,74.34,92.4385,30.9924,3.7171,5.0021,19.331113,209.124,20.912398,0.617642,110.215232,110.215232,10.588232000000005,105.88232000000005,True
BXP,2025-10-01,100.55,100.567,89.486749,89.486749,0.0,4.3439,11,76.32,92.4385,30.4549,3.6746,4.9993,20.154886,218.0356,21.803556,0.628452,111.290305,111.290305,10.740305000000006,107.40305000000006,True
BXP,2025-10-02,100.1,100.122,89.613241,89.613241,0.0,4.321,11,75.61,92.4385,30.7042,3.6561,4.9966,19.839598,214.6248,21.462477,0.623801,111.075718,111.075718,10.975718,109.75718,True
BXP,2025-10-03,100.304,100.343,89.522575,89.522575,0.0,4.3433,11,75.61,92.4385,30.2244,3.681,4.9938,19.557459,211.5726,21.157259,0.622185,110.679834,110.679834,10.375833999999998,103.75833999999998,True
BXP,2025-10-06,99.881,99.925,89.462583,89.462583,0.0,4.3587,11,74.61,92.4385,31.739,3.7139,4.9856,19.921628,215.5122,21.551217,0.622574,111.0138,111.0138,11.132800000000003,111.32800000000003,True
BXP,2025-10-07,98.807,98.857,89.52169,89.52169,0.0,4.3505,11,73.77,92.4385,29.5714,3.692,4.9829,17.975416,194.458,19.445805,0.604627,108.96749500000001,108.96749500000001,10.160495000000012,101.60495000000012,True
BXP,2025-10-08,98.76,98.816,89.513803,89.513803,0.0,4.3564,11,73.03,92.4385,31.7599,3.6965,4.9802,18.909627,204.5643,20.456434,0.610368,109.970237,109.970237,11.210236999999992,112.10236999999992,True
BXP,2025-10-09,97.645,97.707,89.407516,89.407516,0.0,4.3839,11,71.45,92.4385,31.6985,3.7053,4.9774,17.88801,193.5125,19.35125,0.597981,108.75876600000001,108.75876600000001,11.113766000000012,111.13766000000012,True
BXP,2025-10-13,97.064,97.147,89.572428,89.572428,0.0,4.3586,11,70.1,92.4385,31.8384,3.6351,4.9665,17.017905,184.0997,18.409969,0.585637,107.982397,107.982397,10.918397000000013,109.18397000000013,True
BXP,2025-10-14,97.204,97.292,89.817457,89.817457,0.0,4.3133,11,70.53,92.4385,33.2153,3.5871,4.9637,18.082476,195.6162,19.561623,0.596021,109.37908,109.37908,12.175080000000008,121.75080000000008,True
BXP,2025-10-15,98.429,98.523,89.827805,89.827805,0.0,4.3164,11,71.73,92.4385,31.708,3.5971,4.961,17.886539,193.4966,19.349658,0.596688,109.177463,109.177463,10.748463000000001,107.48463000000001,True
BXP,2025-10-16,97.182,97.282,90.009937,90.009937,0.0,4.2747,11,70.39,92.4385,34.0863,3.535,4.9582,18.458587,199.685,19.968499,0.598578,109.97843599999999,109.97843599999999,12.796435999999986,127.96435999999986,True
BXP,2025-10-17,97.632,97.748,89.989855,89.989855,0.0,4.2794,11,71.06,92.4385,31.079,3.5526,4.9555,17.002537,183.9334,18.393344,0.58614,108.383199,108.383199,10.751199,107.51199,True
BXP,2025-10-20,97.658,97.78,90.082656,90.082656,0.0,4.2653,11,70.67,92.4385,31.9572,3.5476,4.9473,17.286363,187.0039,18.700388,0.587871,108.783044,108.783044,11.125044000000003,111.25044000000003,True
BXP,2025-10-21,98.313,98.441,90.117368,90.117368,0.0,4.2668,11,71.97,92.4385,32.1294,3.5314,4.9446,18.172219,196.5871,19.658707,0.598591,109.77607499999999,109.77607499999999,11.46307499999999,114.63074999999989,True
